id,element,name,haiku
1,Hydrogen, H,"Your single proton<br/>fundamental, essential.<br/>Water. Life. Star fuel."
2,Helium, He,Begin universe.<br/>Wait three minutes to enter.<br/>Stay cool. Don't react.
3,Lithium, Li,"Lighter than water,<br/>empower my phone, my car.<br/>Banish depression."
4,Beryllium, Be,"Heart of emerald,<br/>your sweetness a toxic trap;<br/>X-rays see through it."
5,Boron, B,"Just doing your job,<br/>holding plant cells together.<br/>No fireworks, no fuss."
6,Carbon, C,"Show-stealing diva, <br/>throw yourself at anyone,<br/>decked out in diamonds. "
7,Nitrogen, N,"Forever cycling<br/>from air, to soil, roots, crops, us.<br/>Exercise addict."
8,Oxygen, O,"Most of me is you.<br/>I strive for independence,<br/>fail with every breath."
9,Fluorine, F,Tantrums? Explosions?<br/>First step: admit the problem.<br/>Electron envy.
10,Neon, Ne,There's no shame in it.<br/>Advertising pays the bills.<br/>Stop looking so red.
11,Sodium, Na,"Racing to trigger<br/>every kiss, every kind act;<br/>behind every thought."
12,Magnesium, Mg,"Child of aging stars,<br/>however brightly you burn<br/>they will not return."
13,Aluminium/Aluminum, Al,Spent kindergarten<br/>endlessly writing your name.<br/>One <em>i</em> or two <em>i</em>'s?
14,Silicon, Si,"Locked in rock and sand,<br/>age upon age awaiting<br/>the digital dawn."
15,Phosphorus, P,"Report, Willie Pete.<br/>Don't hide behind a smoke screen.<br/>How many killed? Maimed?"
16,Sulphur/Sulfur, S,"Disrupted first grade,<br/>popping stink bombs, starting fires.<br/>Still can't spell your name."
17,Chlorine, Cl,"Low road or high road?<br/>World War I. Gas in trenches.<br/>Or salt shared, tears shed."
18,Argon, Ar,"They named you lazy,<br/>but it takes strength to resist.<br/>To stand by. To shield."
19,Potassium, K,"Leftmost seat, fourth row,<br/>yearning for the halogens<br/>on the other side."
20,Calcium, Ca,"The horse's gallop,<br/>the eagle's swiftness both framed<br/>by your quiet strength."
21,Scandium, Sc,How to define you?<br/>Transition metal? Yes? No?<br/>Do labels matter?
22,Titanium, Ti,"Aerospace stalwart,<br/>is the stratosphere enough?<br/>Or only the stars?"
23,Vanadium, V,"Blush with excitement:<br/>lilac, green, blue, and yellow,<br/>shedding electrons."
24,Chromium, Cr,"Fighting corrosion,<br/>gallant protector of steel,<br/>ready for dragons."
25,Manganese, Mn,"Avoid confusion.<br/>In place of your own name, write<br/>""NOT magnesium."""
26,Iron, Fe,"Anvil, axe, nail, plow,<br/>engine, railway, factory.<br/>Servant, friend, partner."
27,Cobalt, Co,"Traded from Persia,<br/>a blue more precious than gold,<br/>for a Chinese vase."
